name,waters,characteristics,size,distribution,image
Albacore,Saltwater,"Albacore are a member of the family Scombridae and are recognised by their very long pectoral fins, which are the longest of all tunas. Albacore are also characterised by a dark yellow first dorsal fin and pale yellow second dorsal fin. Albacore are opportunistic carnivores that feed on planktonic crustaceans, squid and small fish.
Albacore are a member of the family Scombridae and are recognised by their very long pectoral fins, which are the longest of all tunas. Albacore are also characterised by a dark yellow first dorsal fin and pale yellow second dorsal fin. Albacore are opportunistic carnivores that feed on planktonic crustaceans, squid and small fish.
",Albacore can reach a maximum length of 1.5 m and can weigh more than 40 kg. Anglers commonly catch fish between 50 and 90 cm and a weight of 3-22 kg.,"Albacore, also called albacore tuna or longfin tuna, are pelagic fish that are present in east and south Australian waters and from east of Torres Strait to the north west shelf. The distribution of Albacore is related to oxygen concentration and water temperature. Whilst Albacore feed at the surface, they primarily live at the thermocline, which is the boundary separating warmer surface waters and deeper, cooler waters. Mature Albacore travel from temperate waters to the tropics but return to temperate waters after spawning.",https://www.dpi.nsw.gov.au/__data/assets/image/0003/117237/albacore.jpg
Amberjack,Saltwater,Best separated from the Samsonfish by its more torpedo shaped body and lower head profile.,May attain a maximum size of approximately 190 cm.,"A more tropical species that is often found in coastal NSW, usually with the warmer, summer waters.",https://www.dpi.nsw.gov.au/__data/assets/image/0019/164350/amberjack.jpg
Atlantic Salmon,Freshwater,"Similar to brown trout, but silvery overall, bluish to olive-brown dorsally with a white belly and fewer dark spots usually confined to the upper sides. These spots usually lack the halo characteristic of the brown trout. The fins are a dusky grey and the fish has a thick wrist of the tail. When compared to the brown trout, the mouth of the salmon is smaller and doesn't extend past the eyes and the tail is more deeply forked.","Atlantic Salmon are known to reach in excess of 30 kg, however, a fish greater than 6 kg in Australia are rare.","A native of European and North American rivers draining into the northern Atlantic Ocean, the Atlantic Salmon has been introduced into Lake Jindabyne and Khancoban Pondage. No wild populations occur since most of the natural life cycle is spent at sea. The Atlantic salmon is considered a great sport fish and is keenly sought by anglers. ",https://www.dpi.nsw.gov.au/__data/assets/image/0018/160029/atlantic-salmon.jpg
Australian Bass,Freshwater and saltwater,"Australian Bass vary in colour from silver, green and bronze. The fish migrate downstream to the estuaries to breed between June and August and a fishing closure has been introduced at this time, to protect this species. Females are much larger than males. Adult fish are general purpose carnivores. The Bass has a back profile that is arched from above the eyes to the tail with only very slight tapering of the snout. They are sought after sport fish with bait, fly and artificial lure. Although considered excellent eating, the majority of fish are returned to the water unharmed.",Maximum of 4 kg in weight and 65 cm in length.,"Australian Bass are found in fresh and saltwater, in eastern draining rivers from the Mary River in Queensland to the Gippsland Lakes in Victoria.",https://www.dpi.nsw.gov.au/__data/assets/image/0006/116079/australian-bass.jpg
Australian Salmon,Saltwater,"Robust body with one continuous dorsal fin (spines & soft rays). Body colour varies from greyish green to steely blue above, usually with yellow to dark spots, and a silver underbelly. The Australian Salmon is not related to the true salmonoid fish but rather to the perch family. The fish are common in large schools with the juveniles often in coastal bays.",Maximum of 6 kg and a length of up to 90 cm.,Occurs from Tweed Heads through to Port Philip Bay (Victoria) and Tasmania.,https://www.dpi.nsw.gov.au/__data/assets/image/0017/163412/australian-salmon.jpg
Australian Sawtail,Saltwater,"Sawtail have a leathery skin that is silvery grey in colour, with 5-6 black spots near the caudal fin. They possess 1 or more sharp, bony plates on the caudal peduncle & along the mid-line of the body. Sawtail have quite a small mouth.",Generally grow to around 3 kg and a length of 70 cm. The largest recorded sawtail in Australia was caught by a spearfisher and weighed just over 10 kg.,"Australian Sawtail fish are often found in schools around coastal reefs, from Townsville in Queensland through to the Victorian border. They are more common in the northern half of NSW. Juveniles often reside in coastal bays and estuaries.",https://www.dpi.nsw.gov.au/__data/assets/image/0004/116986/sawtail.jpg
Balmain Bug,Saltwater,"Australian Sawtail fish are often found in schools around coastal reefs, from Townsville in Queensland through to the Victorian border. They are more common in the northern half of NSW. Juveniles often reside in coastal bays and estuaries.",Balmain Bugs can reach a total length of over 25 cm and a weight of around 400 g.,"Balmain Bugs, also known as slipper lobsters and shovelnose lobsters, are distributed throughout the southern half of Australia from Queensland to Western Australia. They inhabit soft sand and muddy environments in water depths ranging from 15 to 650 m, but found most commonly at depths of 150 m.",https://www.dpi.nsw.gov.au/__data/assets/image/0009/584937/Balmain-Bug.jpg
Banded Rock Cod (Bar Cod),Saltwater,Juveniles have seven distinct vertical broad bands and adults are a grey/brown colour and generally have no trace of the dark bars. The fins are darker than the body and have white margins. The caudal fin (tail fin) is almost straight.,Maximum length of around 1.6 m.,The Banded Rock Cod is found along the east coast of Australia from southern New South Wales to northern Queensland. It is a deep water species and is usually caught in depths of 110-370 m.,https://www.dpi.nsw.gov.au/__data/assets/image/0004/163462/bar-cod.jpg
Bass Groper,Saltwater,"The Bass Groper is very similar in appearance to Hapuka. The colour for Bass Groper varies from dark grey to steely blue, with or without silvery blotches.",Maximum weight of around 100 kg and 200 cm in length.,The Bass Groper inhabits deep offshore waters of Australia's southern coast. It can be found in the deep water (100 m +) off the NSW coast.,https://www.dpi.nsw.gov.au/__data/assets/image/0003/116247/bass-grouper.jpg
Beach Worm,Saltwater,Beach worms have a muscular body that consists of hundreds of body segments. These worms can vary from a red to greenish colour on the head to a body of pearly white.,Beach worms can exceed 2.5 m in length.,These worms can be found burrowed in sandy areas throughout the south-eastern Australian coast at the low water mark. They are commonly collected by using a small piece of fish or meat to attract them to the surface then removing them by hand or using special pliers.,https://www.dpi.nsw.gov.au/__data/assets/image/0010/584938/Beach-worm.jpg
Bigeye Tuna,Saltwater,"Bigeye Tuna are a member of the family Scombridae and are easily distinguished by their noticeably larger eyes, hence the name. They have moderately long pectoral fins and yellow dorsal and anal fins.","Bigeye Tuna can reach a maximum size of 2.36 m and 210 kg in weight, however it is rare for these tuna to exceed 1.80 m in length and 150 kg in Australian waters.","Bigeye Tuna (or bigeye) are oceanic fish present throughout Australian waters. Geographic distribution is limited by temperature and oxygen concentrations. They have a greater tolerance to lower temperature and oxygen levels than other tunas, therefore, they tend to occupy deeper waters. They are generally found in more southern waters of Australia's east and west coasts, preferring offshore areas.",https://www.dpi.nsw.gov.au/__data/assets/image/0004/117256/big-eye.jpg
Black Bream,Saltwater,"The upper body of the Black Bream is typically a silvery-olive brown colour or bronzy-black, even greenish at times, depending on habitat. The ventral and anal fins are brownish-black in colour, with a small black spot at the base of the pectoral fin.",The Black Bream is known to grow to a maximum length of 54 cm (approx. 3.6 kg).,"The Black Bream is commonly referred to as the blue-nose bream or southern bream and is found in brackish and fresh waters of estuaries and rivers (occasionally found in coastal waters of southern and western Australia in times of flood). The Black Bream's range extends from southern NSW, Victoria, South Australia and into Western Australia as far north as Shark Bay.",https://www.dpi.nsw.gov.au/__data/assets/image/0006/164553/black-bream.jpg
